CrimeAgainst,Neighborhood,OccurDate,OccurTime,OffenseCategory,OffenseType,ReportDate,OffenseCount,Year
Property,Downtown,5/27/22,0700,Burglary,Burglary,5/27/22,1,2022
Property,Downtown,5/25/22,0803,Vandalism,Vandalism,5/29/22,1,2022
Property,Downtown,6/29/22,1812,Vandalism,Vandalism,6/29/22,1,2022
Property,Downtown,7/24/22,0530,Burglary,Burglary,7/24/22,1,2022
Property,Downtown,7/24/22,0530,Larceny Offenses,All Other Larceny,7/24/22,1,2022
Property,Downtown,10/17/22,0430,Larceny Offenses,Theft From Motor Vehicle,10/17/22,1,2022
Property,Downtown,10/17/22,0430,Vandalism,Vandalism,10/17/22,1,2022
Person,Downtown,11/1/22,1103,Assault Offenses,Simple Assault,11/1/22,1,2022
Property,Downtown,12/2/22,2130,Vandalism,Vandalism,12/3/22,1,2022
Property,Downtown,11/30/22,0430,Burglary,Burglary,12/3/22,1,2022
Property,Downtown,12/11/22,1950,Motor Vehicle Theft,Motor Vehicle Theft,12/12/22,1,2022
Property,Downtown,12/11/22,2300,Motor Vehicle Theft,Motor Vehicle Theft,12/12/22,1,2022
Property,Downtown,12/11/22,1700,Motor Vehicle Theft,Motor Vehicle Theft,12/14/22,1,2022
Property,Downtown,12/14/22,1330,Motor Vehicle Theft,Motor Vehicle Theft,12/15/22,1,2022
Property,Downtown,1/12/22,1700,Larceny Offenses,Theft From Motor Vehicle,1/13/22,1,2022
Property,Downtown,2/26/22,2130,Larceny Offenses,Theft From Motor Vehicle,2/27/22,1,2022
Property,Downtown,2/19/22,1634,Vandalism,Vandalism,3/8/22,1,2022
Property,Downtown,5/7/22,1000,Burglary,Burglary,5/7/22,1,2022
Property,Downtown,5/24/22,1945,Larceny Offenses,Theft From Motor Vehicle,5/25/22,1,2022
Property,Downtown,5/29/22,1548,Larceny Offenses,All Other Larceny,5/29/22,1,2022
Property,Downtown,6/12/22,1500,Fraud Offenses,Identity Theft,6/13/22,1,2022
Property,Downtown,6/11/22,2330,Vandalism,Vandalism,6/14/22,1,2022
Property,Downtown,6/17/22,1200,Vandalism,Vandalism,6/19/22,1,2022
Property,Downtown,6/23/22,0000,Larceny Offenses,Theft From Motor Vehicle,6/23/22,1,2022
Property,Downtown,6/25/22,1930,Larceny Offenses,Theft of Motor Vehicle Parts or Accessories,6/27/22,1,2022
Property,Downtown,8/2/22,1340,Larceny Offenses,Theft of Motor Vehicle Parts or Accessories,8/2/22,1,2022
Property,Downtown,7/20/22,2200,Larceny Offenses,All Other Larceny,8/3/22,1,2022
Property,Downtown,8/27/22,1100,Larceny Offenses,Theft From Motor Vehicle,8/29/22,1,2022
Property,Downtown,9/10/22,1155,Burglary,Burglary,9/12/22,1,2022
Property,Downtown,9/10/22,1405,Burglary,Burglary,10/10/22,1,2022
Property,Downtown,10/17/22,0415,Larceny Offenses,Theft From Motor Vehicle,10/17/22,1,2022
Property,Downtown,10/16/22,2000,Vandalism,Vandalism,10/17/22,1,2022
Property,Downtown,10/18/22,1500,Vandalism,Vandalism,10/19/22,1,2022
Property,Downtown,10/16/22,2330,Larceny Offenses,Theft of Motor Vehicle Parts or Accessories,10/22/22,1,2022
Property,Downtown,9/17/22,2350,Burglary,Burglary,10/22/22,1,2022
Property,Downtown,11/20/22,1330,Larceny Offenses,All Other Larceny,11/21/22,1,2022
Property,Downtown,11/20/22,1230,Larceny Offenses,All Other Larceny,11/22/22,1,2022
Property,Downtown,12/12/22,2145,Larceny Offenses,Theft From Motor Vehicle,12/12/22,1,2022
Property,Downtown,12/12/22,0000,Larceny Offenses,Theft of Motor Vehicle Parts or Accessories,12/12/22,1,2022
Property,Downtown,12/15/22,0930,Vandalism,Vandalism,12/15/22,1,2022
Property,Downtown,12/21/22,1349,Fraud Offenses,False Pretenses/Swindle/Confidence Game,12/21/22,1,2022
Person,Downtown,1/20/22,1441,Assault Offenses,Simple Assault,1/20/22,1,2022
Person,Downtown,3/14/22,1105,Assault Offenses,Simple Assault,3/14/22,1,2022
Person,Downtown,4/2/22,1509,Assault Offenses,Intimidation,4/2/22,1,2022
Person,Downtown,8/14/22,1700,Assault Offenses,Simple Assault,8/21/22,1,2022
Person,Downtown,10/11/22,2000,Assault Offenses,Aggravated Assault,10/11/22,1,2022
